id,followers,genres,name,popularity
33xmh99C0KxDvzaPjR178o,14136.0,"['brazilian hip hop', 'brazilian indie', 'manguebeat']",Instituto,52
1mwuQroxtrC6ANU2Jwb8ZQ,41526.0,['adoracao'],Gabi Sampaio,52
0ECZ1gcdRnPXN4Bf1P8odD,14156.0,['sertanejo pop'],Thiago & Graciano,52
34IKMjXZ3Qy0vjG82n97r6,453.0,[],Bruno Cardoso,52
0HBQtIkqXtoKagoPOgxK8k,211.0,[],El Lif Beatz,51
6Ywb1no2hXLazjIs4LUiQD,226699.0,"['brazilian hip hop', 'funk ostentacao']",ADL,51
61BsnDVXUUSASD04kvzMs1,193410.0,"['mpb', 'musica popular mineira', 'nova mpb']",Vander Lee,51
2eYGPD8O1chWmQ92TvdtCW,4787.0,['trap brasileiro'],JXNV$,51
0MGbmpBm2Gzvy6ENd9D1qv,187392.0,"['adoracao', 'brazilian gospel']",Delino Marçal,51
5mXYWM38dlAs01e3XQEtma,10624.0,['r&b brasileiro'],Jhama,51
02RhvXTIhg46MyWF8yN6GG,49578.0,"['funk carioca', 'funk consciente', 'funk ostentacao', 'funk paulista']",Mc DR,51
6ab8tnQvr8sXXIpSZCrbQs,159302.0,['trap brasileiro'],YUNG LIXO,58
2FHS70d0Slskx7fTNkGRzF,2475.0,[],MC Yuri,58
7uskxjQtkzfiqHCNIIv3gD,291.0,[],jess beats,58
6Ae0wz09vBFYZXJ2bJAKUl,28345.0,"['brazilian hip hop', 'r&b brasileiro', 'rap baixada fluminense']",Kiaz,58
6cUTkFvlPW27lYc3qcoOgy,4170.0,['pop rap brasileiro'],Baviera,58
